Title,Company,Location,JobDescription
Software Engineer,Synopsys Armenia CJSC,"Yerevan, Armenia","The Software Engineer will be engaged in software
design and development."
Web Developer,"Chamber of Commerce and Industry, RA","Yerevan, Armenia","IT department of Chamber of Commerce and Industry, RA
in association with Business Platform, Holland is building a team of IT
specialists to develop, implement and maintain applications for
E-business."
Chief Accountant,Armenian Technology Group Foundation (ATGF),"Yerevan, Armenia","The position performs duties and activities to direct,
manage, supervise and coordinate the activities and operations of the
accounting department, including general ledger, payroll, accounts
payable and receivable, fixed assets, tax packages, order books etc."
Security Guard,Dvin Concern,"Yerevan, Armenia","We are looking for a Security Guard to be responsible
for security of the production."
Database Administrator,"Chamber of Commerce and Industry, RA","Yerevan, Armenia","IT department of Chamber of Commerce and Industry, RA
in association with Business Platform, Holland is building a team of IT
specialists to develop, implement and maintain applications for
E-business."
IT Manager Assistant,Narsan LLC,"Yerevan, Armenia","The jobholder is responsible for maintenance of
current database, administration of local network."
Sales Manager Assistant,Narsan LLC,"Yerevan, Armenia","We are seeking an Assistant to Sales Manager to be
responsible for sales reports, sales analysis etc."
Counter-trafficking Programme Associate,International Organization for Migration (IOM) Mission in Armenia,"Yerevan, Armenia","This position is for supporting implementation of IOM
Counter-trafficking Programme in Armenia."
Promoter,Accept Employment Agency,"Yerevan, Armenia","We are looking for enthusiastic, sociable person, full
of energy to fulfil the position of a company promoter."
Customer Support Specialist,"M-possible, UAE","Dubai, UAE","For this position the incumbent will be supporting
customers using the Windows CE operating system on various mobile
devices. H/she will be working with the company's international clients
via email, phone, and in person, so solid communication skills will be
vital to his/her success."
ASP.NET Software Developers,Nairisoft Inc.,"Yerevan, Armenia","We look for qualified persons with disciplined mind
and wide practical experience for the positions of Software Developer."
Network Administrator,AmNet,"Yerevan, Armenia",N/A
Shop/ Salon Assistant,Videoland LLC,"Yerevan, Armenia",N/A
Senior Software Engineer,"74ze Engineering, Inc.","To be determined (may include travel) - Armenia, Russia, US
or Ukraine","We are seeking Senior Software Engineer to serve as
team leader in an Eastern European team  building tools for SoC
development."
Temporary Systems Administrator,IREX Armenia,"Yerevan, Armenia",N/A
Plastic Cards Specialist,Cascade Bank CJSC,"Yerevan, Armenia","Cascade Capital Holdings CJSC is looking for a highly
professional candidate for position of plastic cards specialist for its
affiliate Cascade Bank CJSC. The successful candidate will be
responsible for cardholders database administration. The position will
report to the Plastic Cards Manager of Cascade Bank. We are looking for
a well organized and hard working person able to work in a western-style
office environment."
Banking Methodology Specialist,Central Bank of Armenia,"Yerevan, Armenia","The objective is to develop and improve the framework
for banking regulation and reporting/accountancy, assisting commercial
banks in solving regulation and accounting related problems."
Researcher,Central Bank of Armenia,"Yerevan, Armenia","The objective is to identify problems and potential
risks in the banking sector, as well as to advice on the development of
the institutional structure of the financial system."
Technical Data Entry Supervisor,Agrian - Armenia,"Yerevan, Armenia","We are seeking Technical Data Entry Supervisor to
coordinate and review the data entry efforts overseeing a team of five
Data Entry Specialists who will be copying information from source
documents into a computer database."
Accountant,Prime Corps LLC,"Yerevan, Armenia","We are seeking an Accountant to take care of day to
day accounting work."
Technical Data Entry Indexer,Agrian - Armenia,"Yerevan, Armenia","We are looking for Technical Data Entry Specialists to
copy information from source documents into a computer database. Most
data will be entered via selecting predefined information from
dropdown lists. Some information will be typed into the database."
Accountant,"Armenian Representative Office of American Bar Association CEELI, Inc.","Yerevan, Armenia","The American Bar Association, Central European and
Eurasian Law Initiative (ABA CEELI) is seeking a qualified Accountant to
be responsible for overall accounting of the company. The position holder
will carry out several accounting functions, and other duties as
assigned. The position performs duties and activities to direct, manage,
supervise and coordinate the activities and operations of the accounting
department, including general ledger, payroll, accounts payable and
receivable, fixed assets, tax packages, order books etc."
Chief Accountant,Cascade Investments cjsc (CI),"Yerevan, Armenia","Cascade Investments cjsc (CI) is looking for a
motivated, self-driven, highly professional candidate for the position
of Chief Accountant. The successful incumbent will be responsible for
overall accounting of the company. The position holder will carry out
several accounting and reporting functions, and other duties as assigned
by the management of CI. The position will report to the Executive
Director of CI. We are looking for a well organized and hard working
person able to work in a western-style office environment towards the
achievement of team goals."
Chief Accountant,Cascade-Credit UCO cjsc (CCr),"Yerevan, Armenia","Cascade-Credit UCO cjsc is looking for a motivated,
self-driven, highly professional candidate for the position of Chief
Accountant. The successful incumbent will be responsible for overall
accounting of the company. The position holder will carry out several
accounting and reporting functions, and other duties as assigned by the
management of CCr. The position will report to the Executive Director of
CCr. We are looking for a well organized and hard working person able to
work in a western-style office environment towards the achievement of
team goals."
Regional Representative,"""Tanger"" Recruitment  Company","Yerevan, Armenia","We are seeking a Regional Representative for a foreign
company involved in manufacture of electronics."
Junior Architect,Quelque-chose LLC,"Yerevan, Armenia","We are looking for a Junior Architect to be
responsible for drafting, 3D modeling etc."
Sales Adviser,"Z Motors Co., Ltd.","Yerevan, Armenia",N/A
English Language Courses,Career Center NGO,"Yerevan, Armenia
DETAIL DESCRIPTION:  Career Center announces below mentioned English
Language Courses:
- The Main English Course (consisting a total of 3 levels)
1. Beginner
2. Intermediate
3. Advanced
The duration of each level is 3 months.
SPECIAL COURSES:
- Business English - Level I
- Business English - Level II 
- Business English - Level III (Complete)
- TOEFL Preparation (Non certificate)
The duration of each level is 2 months.
Business English Courses also cover Special Business Writing and
Communication Classes.",NA
Senior Software Developer C++/C#,CQGI MA,"Yerevan, Armenia",N/A
Sales Person,Shinarar,"Yerevan, Armenia","Our company is seeking a stable, intelligent person
for the position of Sales Person who will manage the company's trade
process, monitor the stock and provide customer services."
Marketing Specialist,Dustr Marianna Ltd.,"Yerevan, Armenia","Marketing Specialist will develop company's marketing
strategy and get involved in its implementation."
IT & Web Manager,British Council,"Yerevan, Armenia","British Council Armenia is urgently seeking to recruit
an IT and Web Manager."
Jeweller,Karisma Jewellery LLC,"Dubai, UAE",N/A
Goldsmith,Karisma Jewellery LLC,"Dubai, UAE",N/A
Assistant to Architect,ProfAL Architecture and Design,"Yerevan, Armenia","We are looking for Assistant to the Architect to be
responsible for assisting the Chief Architect in the projects (mainly
computer work)."
Manager,Envoy Hostel,"Yerevan, Armenia","We are looking for Manager to maintain the smooth
running of Envoy Hostel while looking after staff and client needs.
He/She will run a complete overview of the business inclusive of stock
ordering and stocktaking, staff training, operational input, record
keeping, customer complaints and will be a representative for Envoy
Hostel within the industry."
Receptionist,Envoy Hostel,"Yerevan, Armenia","We are looking for a Receptionist to maintain the
hostel reception and provide friendly and helpful service to all
hostel's internal and external guests."
Senior Software Engineer  Java/DBMS,Impeva Labs,"Yerevan, Armenia","The ideal candidate leverages his/her knowledge in
software design and implementation to develop J2EE web-based application
components for interfacing with RDBMSs."
Senior Software Engineers  Java (2 positions),Impeva Labs,"Yerevan, Armenia",N/A
Deputy Director,"""Tanger"" Recruitment  Company","Yerevan, Armenia","We are seeking a Deputy Director for the
representation of a Russian trade enterprise, who should become Director
in the future (up to year)."
Chief Accountant,"""Tanger"" Recruitment  Company","Yerevan, Armenia","We are seeking a Chief Accountant for the
representation of a Russian trade enterprise."
Receptionist/ Secretary,Ratko LLC,"Yerevan, Armenia","We are seeking highly motivated and qualified
individuals for the position of Receptionist/ Secretary to manage all
the administrative work of the company."
Marketing Specialist/ Sales Manager,Accept Emplotment Agency,"Yerevan, Armenia","We are seeking a Marketing Specialist/ Sales Manager
for a chemistry company."
National Programme Officer (ICS9/NOB),UNFPA,"Yerevan, Armenia","Under the supervision of the Country Director and
Assistant Representative, the NPO substantively contributes to the
effective management of UNFPA activities in the areas of population and
development, reproductive health, gender and HIV/AIDS. He/she analyzes
and assesses relevant political, social and economic trends and provides
substantive inputs to project formulation and evaluation, joint
programming initiatives and national development frameworks."
Leading Specialist - Planning and Analysis Division,Inecobank CJSC,"Yerevan, Armenia",N/A
Head of the Development and Marketing Department,Inecobank CJSC,"Yerevan, Armenia",N/A
Specialist - Planning and Analysis Division,Inecobank CJSC,"Yerevan, Armenia",N/A
Loan Specialist - Commercial Lending Division,Inecobank CJSC,"Yerevan, Armenia",N/A
Leading Specialist - Financial Control Division,Inecobank,"Yerevan, Armenia",N/A
Specialist - Financial Control Division,Inecobank CJSC,"Yerevan, Armenia",N/A
System Administrator,WebSoft Technologies,"Yerevan, Armenia",N/A
English Language Interpreter/ Translator,Mdecins Sans Frontires  Belgium,"Gegharkunik marz, Armenia","In the framework of Access to Health Care in Vardenis
and Tchambarak Regions project or Outpatient Support for People with
Mental Health Problems project the incumbent will:
- Carry out written and oral translations from English into Armenian
(Russian) and vice versa;
- Accompany the expatriate during her/his working hours in order to
support if any need of translation occurs."
Head of Division/ Financial Control Division,Inecobank CJSC,"Yerevan, Armenia",N/A
IT Specialist/ Programmer,Center for Agribusiness & Rural Development (CARD),"Yerevan, Armenia",N/A
Test Manager,Essence Development,"Yerevan, Armenia",N/A
Data Miner,Essence Development,"Yerevan, Armenia","We are looking for a statistician who will be
responsible to develop tools and statistics from the company business
data."
Educational Information Fair,American Councils for International Education (ACTR/ACCELS),"Yerevan, Armenia
DETAIL DESCRIPTION:  This one-day event is open to the public free of
charge and offers a variety of information on US study opportunities.
Learn more about the US education system, the application and selection
process for US academic institutions, and computer-based testing for the
TOEFL, SAT, GRE and GMAT. 
Participants have the opportunity to meet with representatives of US
universities and colleges  and several organizations that fund or
administer exchange programs as well as receive information on different
US colleges and universities. Participants can also take part in panel
discussions with returned graduates of US academic programs and
institutions.",NA
Computer Operator/ Health Care Specialist,DamSoft LLC,"Yerevan, Armenia","We are looking for a Computer Operator/ Health Care
(preferably pharmaceutical) Specialist who will manage the
company/client relationships using company's special software."
Consultant. MSE Finance in Armenia,Business & Finance Consulting (BFC),"Yerevan, Armenia","Business & Finance Consulting (BFC) GmbH is seeking a
highly capable and motivated Consultant."
Software Engineer,LIT Consulting,"Yerevan, Armenia","Software Engineer will be engaged in software design
and development."
Programmer 1C,LIT Consulting,"Yerevan, Armenia",N/A
Country Manager,PricewaterhouseCoopers Limited,"Yerevan, Armenia","Our client, one of the largest group of companies in
the field of international distribution of a wide range of health
products, invites applications from high-calibre and self-motivated
professionals for the position of Country Manager to be based in
Yerevan.
Reporting to the Group Management, this is a challenging opportunity to
coordinate the opening and manage the ongoing operations of the company
in Armenia. The Country Manager will have the responsibility of
implementing corporate strategies that lead to increased customer value
creation & market share gain as well as managing his/her team."
Head of English Chair,European Regional Educational Academy,"Yerevan, Armenia","We are looking for Head of English Chair to run the
educational affairs of the chair."
Resource/ Software Development Director,CQGI MA,"Yerevan, Armenia","The position will be responsible for bringing the
best of the best into the company and ensure that the staff is
committed to creating a high quality product as efficiently as possible."
Project Manager,"Synergy International Systems, Inc./Armenia","Yerevan, Armenia","The Armenian branch of a US-based software company is
seeking to fill the position of a Project Manager. The responsibilities
of this position are focused on assistance to the Senior Project Manager
and Regional Representative in carrying out the monitoring and evaluation
the project implementation procedures. The selected candidate will
supervise personnel involved in the project development as well as
monitor the actual project design. This will include ensuring the
application development, testing and review processes, and that service
requirements goals are met. The Project Manager will schedule, conduct
and document project review meetings; meet established deadlines; travel
abroad to conduct needs assessments; provide consulting services to
companys clients; organize training sessions for users of Synergys Web
Database technology projects, etc. This position will be filled by an
individual with a proven history of project management. Experience in a
dynamic workplace with solid project management practice is required. 
Ideally, this position will be filled by a candidate who has experience
in all aspects of the software development process, including design,
development, implementation, and technical support."
Motion Graphics Designer,APG Armenia,"Yerevan, Armenia","This position reports to Marketing Manager and is part
of Marketing Department team."
Graphic Designer (Web/Print),APG Armenia,"Yerevan, Armenia","This position reports to Marketing Manager and is part
of Marketing Department team."
Assistant to the Editor,Yerevan News,"Yerevan, Armenia",We are seeking a personality to assist the Editor.
Program Coordinator,The South Caucasus Cooperation Program (SCCP) of the Eurasia Foundation,"Yerevan, Armenia","Under the supervision of the SCCP Regional Director,
and in coordination with counterparts in Georgia and Azerbaijan, the
Program Coordinator has primary responsibility for the design and
implementation of the Program in Armenia."
Sales Engineer,Zenteq.am,"Yerevan, Armenia",N/A
Sales Associates,"""Fashion Distribution"" LLC","Yerevan, Armenia","Were looking for confident, hardworking individuals
with good communication and customer service skills to work as Sales
Associates in our men's clothing
retail store on Abovyan street in Yerevan. We can offer the incumbent to
pass sales training, also employee discounts."
Programmer,Boomerang Software LLC,"Yerevan, Armenia","Boomerang Software LLC is currently seeking for a
committed individual to fill the vacancy of Programmer."
"Seminars in Yerevan ""Canada Welcomes New Immigrants""","Canadian Embassy in Cooperation with International Organization for
Migration","Yerevan, Armenia
DETAIL DESCRIPTION:  Two seminars on immigration to Canada under the
""Skilled Worker"" category will take place in Yerevan, Armenia on October
6 and 7. The seminars will be conducted by the officials of the Canadian
Embassy in Moscow. The seminars will be done in Russian and will help
you to understand how to apply and qualify for immigration to Canada.
Information on immigration to Canada is available in English, French and
Russian at: www.canadianembassy.ru and it is suggested that all persons
planning to attend the seminar review this material: Immigration and
Visa Section.
The seminars will take place at the Hotel ""Congress"", 1 Italia street,
375010 Yerevan, Armenia.",NA
Driver,Ameria CJSC,"Yerevan, Armenia","Under the supervision of the Chief of Party (COP) and
the Office Administrative Manager, the driver will be responsible for
driving the office staff to meeting, sometimes under time pressure
situations, picking-up/delivering documents and running various errands."
Field Office Accountant,Ameria CJSC,"Yerevan, Armenia","Under the supervision of the Chief of Party (COP) and
the Office Administrative Manager, the Field office accountant will be
responsible for the projects accounts payable, processing of payroll,
maintaining petty cash, providing cash activity reports, making journal
entries, and understanding the general ledger."
Administrative Assistant,Ameria CJSC,"Yerevan, Armenia","Under the supervision of the Chief of Party (COP) and
the Office Administrative Manager, the Administrative Assistant will be
responsible for answering and operating calls, arranging meetings,
filing documents receiving/sending faxes, e-mails, translating,
interpreting, etc."
IT Specialist,Ameria CJSC,"Yerevan, Armenia","Under the supervision of the Chief of Party (COP) and
the Office Administrative Manager, the IT Specialist will be responsible
for maintenance of current database, administration of local network,
development, implementation and maintenance of IT applications in the
project management field and a project website."
Office Manager,"""INGO Armenia"" CJSIC","Yerevan, Armenia",N/A
Office Administrative Manager,Ameria CJSC,"Yerevan, Armenia","Under the direct supervision of the Chief of Party
(COP), the Office Administrative Manager (OAM) will be responsible for
overseeing administrative, contractual and financial aspects of the
project field office operations. This person will provide the required
support to Nathan/Arlington finance and contracts staff, including the
Project Manager (PM), Contract Administrator (CA) and the Project
Accountant (PA). The position of OAM is imperative to the Projects
successful operations. OAM will work with the COP to set up workflow
priorities, ensure compliance with office policies and procedures and
adherence to the highest standards of professionalism."
Receptionist,Ameria CJSC,"Yerevan, Armenia","Under the supervision of the Chief of Party (COP) and
the Office Administrative Manager, the Receptionist will be responsible
for answering to the incoming calls and operating outgoing calls,
arrangement of meetings, filing, receiving/sending faxes, e-mails,
translating documents, and acting as an interpreter."
Advertising Agent,Leginfo Ltd,"Yerevan, Armenia","- Represent the organization;
- Contact with clients and meet with them."
"Administrative Secretary, College of Engineering","American University of  Armenia, Yerevan","Yerevan, Armenia","The Administrative Secretary provides administrative
support to the College of Engineering (CoE) and Engineering Research
Center (ERC)."
Web Programmer/ Coder,FarDesign,"Yerevan, Armenia","The Programmer/ Coder will be a part of Programming
department and will report to Project Manager."
Marketing Director,Liqvor Pharmaceuticals CJSC,"Yerevan, Armenia","Liqvor Pharmaceuticals searches for Marketing Director
who reports directly to the Company's General Manager and interacts with
production, sales, and other functional business teams. The ideal
candidate will strategically define, develop, and execute marketing
plans needed to improve revenue and leadership for the company and
manage the entire marketing department including PR events. The focus of
the position is to develop marketing goals and objectives and drive
process and execution to increase market share and revenues. The primary
objective is to create, execute and track the success of marketing
campaigns for the Company's products."
General Manager,Ponte Solution CJSC (former UniCAD CJSC),"Yerevan, Armenia","The General Manager (GM) oversees and directs all
aspects of Ponte Solutions CJSC operational policies, objectives, and
initiatives. This position includes executive management
responsibilities and is highly involved with overall company strategies.
Also, the GM manages key parts of the organization. This position
requires creativity and resourcefulness to manage and execute a large
number of concurrent projects with limited budget, personnel and time
resources. The GM is responsible for the attainment of short- and
long-term financial and operational goals. S/he directs the development
of the organization to ensure future growth."
Social Worker,"MSF-France, Armenian Branch","Yerevan, Armenia","Assistance to Psycho-Social Adviser within the
framework of MSF Project on Diagnosis, Treatment and Prevention of
Drug-Resistant Tuberculosis."
Cluster Coordinator,Ameria CJSC,"Yerevan, Armenia","The main focus of Cluster Coordinator should be
coordinating cluster development activities, supporting strategy and
action plan development, and supporting theory implementation with
Cluster Specialists in five key clusters (Tourism,  IT, Agroprocessing,
Gems and Jewellery, Precision Engineering)."
Business Association Specialist,Ameria CJSC,"Yerevan, Armenia",N/A
Sales Agent,"""INGO Armenia"" CJSIC","Yerevan, Armenia","Company is looking for a stuff of sales agents. Before
starting the work two-month training will be organized for chosen
candidates."
Receptionist/ Administrative Assistant,"""Anahit"" Cultural Foundation","Yerevan, Armenia","The Receptionist/ Administrative Assistant will help
in program and office administration at the computer center for
musicians."
Chief Accountant,Silex Armenian- American JV Co Ltd.,"Yerevan, Armenia","We are seeking a Chief Accountant to set up and/or
supervise Accounts Departments of local and foreign companies operating
in Armenia within different service and trade industries (currently four
companies)."
Regional Sales Director,Kifato,"Klin, Russia",N/A
Staff Attorney,"American Bar Association Central and East European Law Initiative
(ABA/CEELI)","Yerevan, Armenia","The American Bar Association, Central European and
Eurasian Law Initiative Criminal Law Program (ABA/CEELI) is seeking a
Staff Attorney who will be responsible for providing legal assistance
and advice to ABA/CEELI's liaisons (lawyers)."
Director of  Finance,Armenia Marriott Hotel,"Yerevan, Armenia","The Director of Finance functions as the property's
Financial Business Leader. As a member of the Executive Committee the
incumbent champions, develops and implements hotel-wide strategies that
deliver products and services to meet or exceed the needs and
expectations of guests, associates owners, and Marriott International."
Legal Adviser (Consultant),Enterprise Incubator Foundation,"Yerevan, Armenia",N/A
Trade Marketing Representative,British American Tobacco,"Vanadzor, Armenia","British American Tobacco is looking for a high quality
Trade Marketing Representative to fill a vacancy in the Armenia
representative office."
Start-Up Consultant,Enterprise Incubator Foundation,"Yerevan, Armenia","The assigned start-up manager will closely cooperate
with EIF staff and provide certain services to selected IT start-up
companies on all stages of their business development."
IT Project Management Consultant,Enterprise Inubator Foundation,"Yerevan, Armenia","The Consultant will work with EIF, local software
development companies and newly created technology companies to assist
in IT-related issues, such as analysis of business processes,
requirements gathering and functional analysis, software project
management, and technology marketing in local and foreign markets."
Accountant,Ararat Gold Recovery Company,"Yerevan, Armenia","We are seeking an Accountant for day to day accounting
work."
Translator-Interpreter/Editor,American University of  Armenia,"Yerevan, Armenia",N/A
Medical Doctor,Mdecins Sans Frontires-Belgium and Gegharkunik Marzpetaran,"Karchaghbyur village, Gegharkunik marz, Armenia","The Doctor will represent the Policlinic of Vardenis
and MSF in the rural health ambulatory (RHA) and report to the
policlinic director hierarchically and to MSF functionally."
Operator - Cashier,"""Tanger"" Recruitment  Company","Yerevan, Armenia","We are seeking an Operator - Cashier for the
representation of a Russian trading company."
Public Relations Director,Armenian EyeCare Project,"Yerevan, Armenia",N/A
Database Programmer,PA Government Services Inc.,"Yerevan, Armenia","The database programmer will work with a team of
national and international experts in a program aimed at building water
recourses databases for the State Water Cadastre Information System
(SWCIF)."
Arts Management International Autumn Courses,HIGH FEST International Theatre Festival,"Yerevan, Armenia
DETAIL DESCRIPTION:  This training is organized within the framework of
HIGH FEST Third International Theatre Festival.
Applicant/Participant profile:
Course for people working in medium to large arts organizations with
responsibility for a group of professionals who want to learn more about
vision and mission building, team development and human resources
management, sponsorship problems and marketing and business planning
skills.
We offer courses for all those involved in cultural practice and policy
in their professional environment (arts and culture organizations,
Ministries of Culture, individuals etc.) which will be available to arts
managers, production managers, festival organizers, managers of venues
and companies, individuals who organize and run their own independent
projects and need professional advice and management skills, as well as
students and young practitioners. 
Course language:
All sessions are held in English language with translation into
Armenian.
Programme:
Each course consists of seminars, workshops, case studies and
evaluations. Seminars will be followed by the conference Creation of
Southern Caucasus - Central Asia Performing Arts Network.
Course Moderator:
Arthur Ghukasyan 
President of HIGH FEST
Course Coordinators: 
Narek Tovmasyan
Lilit Galustyan",NA
River Basin Planner/ IWRM Specialist,PA Government Services Inc.,"Yerevan, Armenia","This specialist will work with a team of national and
foreign experts in the development of integrated water resources
management plans for river basins and the capacity building for basin
development and management."
Communication/ Training Specialist,PA Government Services Inc.,"Yerevan, Armenia",N/A
Water Resources Monitoring Specialist,PA Government Services Inc.,"Yerevan, Armenia","The water resources monitoring specialist will work
with a team of national and international experts in a program aimed at
revitalizing water resources monitoring in Armenia."
Groundwater Monitoring Specialist,PA Government Services Inc.,"Yerevan, Armenia","The Groundwater Monitoring Specialist will work with a
team of national and international experts in a program aimed at
re-establishment of groundwater monitoring in Armenia."
Pharmacist,"""A.B."" LLC","Yerevan, Armenia","The compnay is seeking a Pharmacist to work in
drugstore."
Translator/ Interpreter,"""Mission Armenia"" NGO, Yerevan","Yerevan, Armenia",N/A
Software Developer,AccuSoft-AM LLC,"Yerevan, Armenia","AccuSoft-AM LLC is looking for two motivated
developers for expanding current development team."
Office Manager,Management Sciences for Health,"Yerevan, Armenia","The Office Manager ensures that administrative and
accounts management systems are conducted according to all laws and
regulations of Armenia, and MSH and USAID regulations, standard
operating procedures and good business practices. In addition, he or she
provides secretarial, administrative and logistics support management to
the Senior Program Associate and to the technical assistance team for
the successful implementation of RPM Plus activities in Armenia. The
Office Manager facilitates good communication between the Armenia field
office and RPM Plus and MSH offices in the United States."
Accountant/ Financier,"""Max Concern"" LLC","Yerevan, Armenia",N/A
Field Social Worker,Fund for Armenian Relief (FAR),"Yerevan, Armenia","FAR seeks a motivated, well organized, hard working,
highly professional candidate for the position of  Field Social Worker
to work in its Childrens Reception and Orientation Center."
Outreach Coordinator/ Advocacy Specialist,Internews Media Support NGO,"Yerevan, Armenia",N/A
Senior Program Associate,Management Sciences for Health,"Yerevan, Armenia","The Senior Program Associate assists in the
development, implementation, and monitoring of RPM Plus pharmaceutical
management activities in Armenia.  He or she provides direct technical
assistance to improve pharmaceutical management practices both at the
national and at the marz level; coordinates data collection and analysis
for RPM Plus studies in Armenia; plans, organizes and facilitates RPM
Plus training courses. The Senior Program Associate coordinates with
USAID, and international and national partners working in Armenia."
Senior Electronic/ Software Engineer,Karart CJSC,"Ijevan, Tavoush region, Armenia","The primary objective of this position is the
exploitation, testing and controlling of computerized equipment of stone
processing, entering dates and software."
Field Team Leader,Fund for Armenian Relief (FAR),"Yerevan, Armenia","FAR seeks a motivated, well organized, hard working,
highly professional candidate for the position of  Field Team Leader to
work for its Childrens Reception and Orientation Center."
Human Resources Intern,"""Cascade Capital Holdings"" CJSC","Yerevan, Armenia","Cascade Capital Holdings CSJC is looking for a
motivated, proactive candidate for internship as a Human Resources
Assistant. ""After completing the internship, successful candidate will
be given preference when relevant job vacancy is opened in Cascade
Capital Holdings."
Senior Software Engineers - Java,Hylink JSC,"Yerevan, Armenia",N/A
Cardiologist,Arrhythmology Cardiology Group LLC,"Yerevan, Armenia","General cardiology at outpatient and inpatient
clinical practice. 6 to 10 uncalls per month."
AUDITOR,"""Alliance Consulting Center"" LLC","Yerevan, Armenia",N/A
Loan Specialist,Alliance Consulting Center LLC,"Yerevan, Armenia",N/A
Chief Accountant,"Development Associates, Inc. (DA) Branch Office in RA","Yerevan, Armenia","The Chief Accountant provides administrative and
financial/accounting support services to the project. S/he will be
responsible for all financial transactions, including all income and
expenditure verification, processing and reporting. The Chief Accountant
will also be the projects primary liaison with the Republic of Armenia
State Income Service and Ministry of Labor and Social Affairs. The Chief
Accountant reports to the Deputy Chief of Party and the Chief of Party.
The Chief Accountant is one of four Class A signatories on project bank
accounts."
Assistant for the AWP (Annual Work Plan),UNDP Armenia,"Yerevan, Armenia","The AWP Assistant, under the direct supervision of the
Project Coordinators and Team Leaders of the AWP, will be responsible for
supporting the AWP implementation, financial, administrative and
personnel management."
PHP Programmer,WebSoft Technologies,"Yerevan, Armenia","WebSoft Technologies is currently seeking for a
committed person to fill the vacancy of PHP Programmer."
Sales Director,B&Z Furniture,"Yerevan, Armenia","B&Z Furniture seeks an experienced sales person to
manage in-store sales and attract additional clientele through a
door-to-door campaign."
ASP.NET Software Developers,Nairisoft Inc.,"Yerevan, Armenia","We look for qualified persons with disciplined mind
and wide practical experience for the positions of Software Developer."
Translator,"""Electric Networks of Armenia"" CJSC","Yerevan, Armenia",N/A
Receptionist,Golden Palace Hotel,"Yerevan, Armenia","Golden Palace Hotel is looking for a Receptionist to
work in night hours."
.NET Developer,Altysoft Ltd,"Tbilisi, Georgia","Altysoft is looking for a motivated, experienced,
initiative driven .NET Developer."
.NET Solution Developer/ Project Manager,Altysoft Ltd.,"Tbilisi, Georgia","Altysoft is looking for an initiative driven and
communicative .NET Solution Developer/ Project Manager."
Medical Doctor,Mdecins Sans Frontires-Belgium and Gegharkunik Marzpetaran,"Karchaghbyur village, Gegharkunik marz, Armenia","The Doctor will represent the Policlinic of Vardenis
and MSF in the rural health ambulatory (RHA) and report to the
policlinic director hierarchically and to MSF functionally."
Commercial Director,General Transworld Manufacturing Company (GTMC) CJSC,"Yerevan, Armenia","Commercial Director performs duties and activities to
conduct business activities which are emphasized in but not limited to
International and Domestic Trade and Purchase, i.e. commercialization of
the production, marketing, product planning and promotion, procurement.
Commercial Director should be able to coordinate the following aspects
of activities: purchases, sales development, marketing and logistics.
The position will be viewed as the primary point person accountable for
ensuring that necessary action plans and deliverables are completed in a
timely, cost effective, operationally effective manner."
Press Secretary,"""Tanger"" Recruitment  Company","Yerevan, Armenia",We are seeking a Press Secretary for a concern.
Senior Software Developer C++/C#,CQGI MA,"Yerevan, Armenia",N/A
Administrative Volunteers,AIESEC in Armenia,"Yerevan, Armenia","The volunteers selected will be involved in
administrative activities of AIESEC in Armenia, some examples of those
are:
- Working with different types of organizations to create partnerships
in the frames of AIESEC Internships Program;
- Communicating with other AIESEC chapters for realization of
internships in Armenian organisations;
- Arranging necessary details to welcome the foreign interns, who come
to work in Armenia, participating in the trainings and other educational
events.
The involvement in AIESEC is on a flexible part-time basis, taking into
account the academic duties and other responsibilities."
Business Analyst with Health care Domain,"KRE Consulting, LLC","Los Angeles, USA","The Business Analyst will act as a communication
liaison between Provider Contracting and the downstream operational
departments."
VB.Net/C#/SQL Server Programmer,"KRE Consulting, LLC","Los Angeles, USA","We are Seeking a confident Programmer who can show a
proven track record implementing Microsoft.NET based solutions."
Negotiator,Smart Shoppinguide CJSC,"Yerevan, Armenia","The incumbent will negociate discounts for local
companies or organisations of all fields. The jobholder will work in
Yerevan with possibility to travel abroad."
Small and Medium Business Programs Developer,French Armenian Development Foundation (FADF),"Yerevan, Armenia","Within the framework of ""Reintegration of Armenian
families having illegal status in France and returning to Armenia""
program wee are looking for qualified persons with wide practical
experience for developing and implementing small and medium business
programs."
Software Developer,"""Karapetyanner"" Scientific-Production Experimental (KSPE) LLC","Yerevan, Armenia","We are looking for a motivated, experienced,
initiative Software Developer."
Web Designer,Archesh LLC,"Yerevan, Armenia","We are looking for a motivated, experienced,
initiative Web Designer."
Small and Medium Business Programs Developer,French Armenian Development Foundation (FADF),"Yerevan, Armenia","We are looking for qualified persons with wide
practical experience for developing and implementing small and medium
business programs."
Resource Center Intern,Caucasus Media Institute,"Yerevan, Armenia","The CMI Resource center Intern combines administrative
experience with working in the CMI library and databases."
Chief Accountant,"Hotel ""Kecharis""","Tsakhkadzor,  Armenia","We are seeking a chief accountant for ""Kecharis"" hotel
in Tsakhkadzor, on Orbeli street."
